KT	Inst	Adr	Ort	Typ	RWStatus	Akt	SL	WB	AnzStand	SA	PtageStatT	AustStatT	NeugStatT	Ops	Gebs	CMIb	CMIn	pPatWAU	pPatWAK	pPatLKP	pPatHOK	PersA	PersP	PersMT	PersT	PersAFall	PersPFall	PersMTFall	PersTFall	AnzBelA	AnzBelP	AwBesold	AwInvest	AwSonst	AwT	EtMedL	EtSonst	EtSubv	FiErg	PtageStatA	AustStatA	BettenStatA	DADStatA	pBettenBelStatA	KostAmbA	KostOKPAmbA	KostStatA	KostKVGStatA	AnlKVGStatA	KostZvOKPStatA	AnlZvOKPStatA	KostLangA	AuftragLFA	ErlAmbA	ErlOKPAmbA	ErlStatA	ErlKVGStatA	ErlKVGStatVA	ErlZvOKPStatA	ErlZvOKPStatVA	ErlLangA	PtageStatP	AustStatP	BettenStatP	DADStatP	pBettenBelStatP	KostAmbP	KostOKPAmbP	KostStatP	KostKVGStatP	AnlKVGStatP	KostZvOKPStatP	AnlZvOKPStatP	KostLangP	AuftragLFP	ErlAmbP	ErlOKPAmbP	ErlStatP	ErlKVGStatP	ErlKVGStatVP	ErlZvOKPStatP	ErlZvOKPStatVP	ErlLangP	PtageStatR	AustStatR	BettenStatR	DADStatR	pBettenBelStatR	KostAmbR	KostOKPAmbR	KostStatR	KostKVGStatR	AnlKVGStatR	KostZvOKPStatR	AnlZvOKPStatR	KostLangR	AuftragLFR	ErlAmbR	ErlOKPAmbR	ErlStatR	ErlKVGStatR	ErlKVGStatVR	ErlZvOKPStatR	ErlZvOKPStatVR	ErlLangR	PtageStatB	AustStatB	BettenStatB	DADStatB	pBettenBelStatB	KostAmbB	KostOKPAmbB	KostStatB	KostKVGStatB	AnlKVGStatB	KostZvOKPStatB	AnlZvOKPStatB	KostLangB	AuftragLFB	ErlAmbB	ErlOKPAmbB	ErlStatB	ErlKVGStatB	ErlKVGStatVB	ErlZvOKPStatB	ErlZvOKPStatVB	ErlLangB
AR	Klinik Gais AG Fachklinik für kardiale & psychosomatische Rehabilitation	Gäbrisstrasse 1172	9056 Gais	K221	priv	R		MSt, Arzt, BGs	1		42059	1878	0	0	NA	NA	NA	2.4975	95.5567	30.3262	99.4903	14.8	14.45	NA	110.57	0.788072417	0.76943557	NA	5.887646432	0	NA	9669000	587000	4053000	14309000	14265000	1624000	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AR	Rheinburg­Klinik	Dorf	9428 Walzenhausen	K221	priv	R		Arzt, BGs	1		18507	677	0	0	NA	NA	NA	6.1111	86.3905	56.6667	94.0278	21.8	37.1	NA	132.15	3.220088626	5.480059084	NA	19.51994092	0	NA	10580000	1832000	2454000	14866000	14559000	552000	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AR	Hirslanden Klinik am Rosenberg	Hasenbühlstrasse 11	9410 Heiden	K231	priv	A		MSt, BGs	2		13930	2787	0	4	NA	0.851	0.856	4.4444	87.4719	70.4301	60.9677	3.9	46.65	NA	138.96	0.139935414	1.673842842	NA	4.986006459	22	NA	11709000	1858000	7344000	20911000	21539000	310000	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AR	Berit Paracelsus­Klinik AG	Steinweg 1	9052 Niederteufen	K231	priv	A, R		BGs	1		5929	910	0	2	NA	0.928	0.932	0.9227	89.057	37.9469	87.4279	0.5	22.4	NA	57.3	0.054945055	2.461538462	NA	6.296703297	34	NA	6341000	431000	3219000	9991000	10077000	264000	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AR	Augenklinik Dr. A. Scarpatetti AG	Gremmstrasse 17	9053 Teufen AR	K235	priv	A	NF		1		315	806	0	2	NA	NA	NA	4.1096	79.2857	97.9452	92.4658	2	4.7	NA	18.5	0.248138958	0.583126551	NA	2.29528536	1	NA	2727000	608000	1447000	4782000	6719000	79000	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BE	Inselspital Bern	Freiburgstrasse 18	3010 Bern	K111	oeff	A, R	NF, IPS	MSt, Arzt, BGs	1	MRI, CT, CC, LB, Lito	251733	37443	973	34	NA	1.307	1.379	1.3362	24.9062	17.6329	88.7964	1190.06	1802.6	NA	6330.87	3.178324386	4.814250995	NA	16.90802019	0	NA	674395000	56183000	341361000	1071939000	624963000	32024000	411905000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BE	Spital Netz Bern AG	Morillonstrasse 77	3007 Bern	K112	oeff	A, R	NF, IPS	MSt, Arzt, BGs	6	MRI, CT	144485	20412	787	13	NA	0.904	0.908	0.3575	3.9556	18.5097	93.6072	234.03	666.59	NA	1809.59	1.146531452	3.265677053	NA	8.865324319	55	NA	175011000	7826000	75555000	258392000	136385000	5607000	116633000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BE	Spital Thun­Simmental­Saanenland AG	Krankenhausstrasse 12	3600 Thun	K112	oeff	A	NF, IPS	MSt, Arzt, BGs	5	CT	74193	13543	1051	9	NA	0.861	0.872	1.3975	3.7358	16.6407	92.3072	136.47	388.96	NA	1174.65	1.007679244	2.872037215	NA	8.673484457	40	NA	120458000	3001000	52461000	175920000	102550000	9215000	64597000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BE	Spitalzentrum Biel	Vogelsang 84	2502 Biel	K112	oeff	A, R	NF, IPS	MSt, Arzt, BGs	2	MRI, CT, Lito	72582	11685	909	8	NA	0.863	0.907	0.3379	4.9365	17.5652	89.9167	129.9	267.3	NA	974.5	1.111681643	2.287548139	NA	8.339751819	34	NA	107625000	3351000	47527000	158503000	101457000	1496000	56908000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BE	Lindenhofspital	Bremgartenstrasse 117	3012 Bern	K112	priv	A, P	NF, IPS	BGs	1	MRI, CT, LB	63930	12299	1060	8	NA	0.838	0.86	0.3296	12.4917	32.8255	93.7454	6	383.3	NA	832.95	0.048784454	3.116513538	NA	6.772501829	149	NA	115481000	18947000	42766000	177194000	170613000	4755000	1826000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BE	Salem­Spital	Schänzlistrasse 39	3013 Bern	K121	priv	A	NF	MSt, Arzt, BGs	1	MRI, CT	47805	9594	982	8	NA	0.831	0.836	0.3962	10.8243	33.0999	93.5311	48.5	184.08	NA	529.01	0.505524286	1.918699187	NA	5.513967063	128	NA	5.10E+07	18874000	40695000	110569000	99939000	12396000	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BE	SRO Spital Region Oberaargau AG  	St. Urbanstrasse 67	4900 Langenthal	K121	oeff	A	NF, IPS	MSt, Arzt, BGs	2	MRI, CT	51143	7953	518	5	NA	0.836	0.862	0.3724	15.0082	15.0337	68.2918	97.9	277.65	NA	836.93	1.230982019	3.491135421	NA	10.52345027	13	NA	73422000	2874000	37557000	113853000	70929000	4624000	38780000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BE	Regionalspital Emmental AG	Oberburgstrasse 54	3400 Burgdorf	K121	oeff	A	NF, IPS	MSt, Arzt, BGs	2	MRI, CT	43291	7535	523	6	NA	0.828	0.863	0.0614	2.875	11.0265	88.0526	103.89	276.85	NA	734.95	1.37876576	3.674187127	NA	9.753815528	13	NA	68889000	2269000	34281000	105439000	59807000	4109000	41931000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BE	Spitäler FMI AG	Weissenaustrasse 27	3800 Unterseen	K121	oeff	A	NF, IPS	MSt, Arzt, BGs	3	MRI, CT	42274	8032	528	7	NA	0.836	0.839	5.8607	6.1399	14.7265	89.8446	79.55	195.12	NA	645.94	0.990413347	2.429282869	NA	8.042081673	8	NA	67246000	2159000	36548000	105953000	62097000	8830000	35322000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BE	Klinik Sonnenhof AG	Buchserstrasse 30	3006 Bern	K121	priv	A	NF, IPS	MSt, Arzt, BGs	2	MRI, CT	42988	9253	1019	9	NA	0.839	0.838	0.251	13.9166	29.3561	92.3062	39.6	194.24	NA	624.87	0.427969307	2.099211067	NA	6.753161137	175	NA	77203000	7702000	38008000	122913000	121059000	1958000	190000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BE	Klinik Beau­Site AG	Schänzlihalde 11	3013 Bern	K122	priv	A	NF, IPS	MSt, Arzt, BGs	1	MRI, CT, Lito	31492	6027	0	5	NA	1.237	1.284	0.296	17.3648	42.9135	97.7639	1	162.74	NA	398.1	0.016592003	2.700182512	NA	6.605276257	86	NA	38479000	18911000	37952000	95342000	82494000	13627000	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BE	Hôpital du Jura bernois SA	Les Fontenayes 17	2610 St­Imier	K122	oeff	A	NF	MSt, BGs	2	CT	23775	4009	166	4	NA	0.841	0.855	0.7581	13.1296	13.1959	93.9588	48.83	77.56	NA	362.6	1.218009479	1.934647044	NA	9.044649539	8	NA	35923000	2356000	14493000	52772000	30990000	3459000	18972000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BE	Klinik Linde AG	Blumenrain 105	2503 Biel	K122	priv	A	NF	BGs	1	MRI, CT, CC	19974	4470	555	7	NA	0.721	0.73	0.1584	7.735	46.6733	99.4059	8.1	110.44	NA	329.4	0.181208054	2.470693512	NA	7.369127517	89	NA	27765000	5609000	18351000	51725000	50491000	2032000	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BE	Psychiatriezentrum Münsingen	Hunzigenstrasse 1	3110 Münsingen	K211	oeff	P	NF	MSt, Arzt, BGs	1		101122	1920	0	0	NA	NA	NA	0.4583	2.2099	0.4125	98.6251	53.81	214.62	NA	494.64	2.802604167	11.178125	NA	25.7625	0	NA	49234000	389000	9354000	58977000	26860000	3835000	28282000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BE	Universitäre Psychiatrische Dienste Bern (UPD)	Bolligenstrasse 111	3072 Ostermundigen	K211	oeff	P	NF	MSt, Arzt, BGs	21		105119	2806	0	0	NA	NA	NA	0.7095	4.6445	3.9021	97.2331	198.16	384.66	NA	896.98	7.062009979	13.70848182	NA	31.96650036	0	NA	93239000	3612000	19791000	116642000	47726000	4296000	64620000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BE	Privatklinik Meiringen Zentrum für Psychiatrie und Psychotherapie	Willigen	3860 Meiringen	K211	oeff	P	NF	MSt, Arzt, BGs	1		63374	1054	0	0	NA	NA	NA	1.7341	25.2941	16.0198	99.5871	33.12	139.9	NA	277.59	3.142314991	13.27324478	NA	26.33681214	1	NA	26670000	7253000	7306000	41229000	24800000	1956000	14738000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BE	Services Psychiatriques Jura Bernois ­ Bienne­Seeland (SPJBB)		2713 Bellelay	K211	oeff	P	NF	Arzt, BGs	3		48643	679	0	0	NA	NA	NA	0.3222	11.4224	0	99.2481	24.53	164.68	NA	334.35	3.612665685	24.2533137	NA	49.24153166	0	NA	33707000	1285000	4647000	39639000	17141000	1065000	21433000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BE	Privatklinik Wyss AG	Fellenbergstrasse 32	3053 Münchenbuchsee	K212	priv	P	NF	Arzt, BGs	1		28292	593	0	0	NA	NA	NA	0	22.272	49.7758	100	39.3	62.25	NA	186.25	6.627318718	10.49747049	NA	31.40809444	0	NA	16911000	1357000	3770000	22038000	23276000	443000	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BE	Klinik SGM Langenthal Psychosomatik, Psychiatrie, Psychotherapie	Weissensteinstrasse 30	4900 Langenthal	K212	priv	P, R		Arzt, BGs	1		12609	225	0	0	NA	NA	NA	0.3922	43.7008	11.7647	100	16.34	26.9	NA	74.62	7.262222222	11.95555556	NA	33.16444444	0	NA	6359000	644000	1825000	8828000	8584000	225000	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BE	Regionalspital Emmental AG Psychiatrische Dienste	Oberburgstrasse 54	3400 Burgdorf	K212	oeff	P	NF	MSt, Arzt, BGs	1		5762	227	0	0	NA	NA	NA	0	1.7621	4.8458	99.1189	24.5	28.42	NA	72.47	10.79295154	12.51982379	NA	31.92511013	0	NA	8856000	668000	1113000	10637000	4801000	1119000	4717000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BE	Zentrum für Psychiatrie und Psychotherapie Langenthal SRO	St. Urbanstrasse 67	4900 Langenthal	K212	oeff	P		Arzt, BGs	2		5235	167	0	0	NA	NA	NA	0	11.236	1.6854	99.4382	26.8	22.35	NA	69.68	16.04790419	13.38323353	NA	41.7245509	0	NA	8922000	487000	989000	10398000	5869000	14000	4529000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BE	Soteria Bern	Bühlstrasse 19	3012 Bern	K212	oeff	P		Arzt, BGs	1		2581	69	0	0	NA	NA	NA	0	33.7838	2.7027	100	2.6	6.82	NA	12.72	3.768115942	9.884057971	NA	18.43478261	0	NA	1529000	145000	198000	1872000	1166000	36000	833000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BE	Berner Reha Zentrum AG Heiligenschwendi 	Schwendi 303	3625 Heiligenschwendi	K221	oeff	R		Arzt, BGs	1		39591	2024	0	0	NA	NA	NA	0.0947	9.6163	22.4326	93.0431	19.1	98.23	NA	248.39	0.943675889	4.85326087	NA	12.2722332	0	NA	20854000	539000	5528000	26921000	13190000	1058000	12861000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BE	Berner Klinik Montana	Rathausgasse 1	3011 Bern	K221	oeff	R			1		26103	1186	0	0	NA	NA	NA	0.6809	28.7061	28	98.2979	13.1	49.13	NA	146.42	1.10455312	4.142495784	NA	12.34569983	0	NA	12877000	275000	4093000	17245000	10386000	457000	6543000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
